Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Fri, Jan 8, 2021;10:00p;Toronto Raptors;144;Sacramento Kings;123;Box Score;;0;
Sat, Jan 9, 2021;3:00p;Denver Nuggets;115;Philadelphia 76ers;103;Box Score;;0;
Sat, Jan 9, 2021;7:00p;Atlanta Hawks;105;Charlotte Hornets;113;Box Score;;0;
Sat, Jan 9, 2021;7:00p;Phoenix Suns;125;Indiana Pacers;117;Box Score;;0;
Sat, Jan 9, 2021;7:00p;Miami Heat;128;Washington Wizards;124;Box Score;;0;
Sat, Jan 9, 2021;8:00p;Cleveland Cavaliers;90;Milwaukee Bucks;100;Box Score;;0;
Sat, Jan 9, 2021;8:00p;San Antonio Spurs;125;Minnesota Timberwolves;122;Box Score;OT;0;
Sat, Jan 9, 2021;8:30p;Orlando Magic;98;Dallas Mavericks;112;Box Score;;0;
Sat, Jan 9, 2021;10:00p;Portland Trail Blazers;125;Sacramento Kings;99;Box Score;;0;
Sun, Jan 10, 2021;3:00p;Utah Jazz;96;Detroit Pistons;86;Box Score;;0;
Sun, Jan 10, 2021;4:00p;Chicago Bulls;127;Los Angeles Clippers;130;Box Score;;0;
Sun, Jan 10, 2021;6:00p;Oklahoma City Thunder;129;Brooklyn Nets;116;Box Score;;0;
Sun, Jan 10, 2021;6:00p;Denver Nuggets;114;New York Knicks;89;Box Score;;0;
Sun, Jan 10, 2021;7:00p;Los Angeles Lakers;120;Houston Rockets;102;Box Score;;3,327;
Sun, Jan 10, 2021;8:00p;San Antonio Spurs;88;Minnesota Timberwolves;96;Box Score;;0;
Sun, Jan 10, 2021;8:30p;Toronto Raptors;105;Golden State Warriors;106;Box Score;;0;
Mon, Jan 11, 2021;7:00p;New York Knicks;88;Charlotte Hornets;109;Box Score;;0;
Mon, Jan 11, 2021;7:00p;Memphis Grizzlies;101;Cleveland Cavaliers;91;Box Score;;1,944;
Mon, Jan 11, 2021;7:00p;Milwaukee Bucks;121;Orlando Magic;99;Box Score;;3,248;
Mon, Jan 11, 2021;7:00p;Phoenix Suns;107;Washington Wizards;128;Box Score;;0;
Mon, Jan 11, 2021;7:30p;Philadelphia 76ers;94;Atlanta Hawks;112;Box Score;;0;
Mon, Jan 11, 2021;10:00p;Toronto Raptors;111;Portland Trail Blazers;112;Box Score;;0;
Mon, Jan 11, 2021;10:00p;Indiana Pacers;122;Sacramento Kings;127;Box Score;;0;
Tue, Jan 12, 2021;7:00p;Miami Heat;134;Philadelphia 76ers;137;Box Score;OT;0;
Tue, Jan 12, 2021;7:30p;Denver Nuggets;116;Brooklyn Nets;122;Box Score;;0;
Tue, Jan 12, 2021;7:30p;Utah Jazz;117;Cleveland Cavaliers;87;Box Score;;1,944;
Tue, Jan 12, 2021;8:00p;Los Angeles Lakers;117;Houston Rockets;100;Box Score;;3,221;
Tue, Jan 12, 2021;8:00p;San Antonio Spurs;112;Oklahoma City Thunder;102;Box Score;;0;
Tue, Jan 12, 2021;10:30p;Indiana Pacers;104;Golden State Warriors;95;Box Score;;0;
Wed, Jan 13, 2021;7:00p;Dallas Mavericks;104;Charlotte Hornets;93;Box Score;;0;
Wed, Jan 13, 2021;7:00p;Milwaukee Bucks;110;Detroit Pistons;101;Box Score;;0;
Wed, Jan 13, 2021;7:30p;Brooklyn Nets;116;New York Knicks;109;Box Score;;0;
Wed, Jan 13, 2021;8:00p;Memphis Grizzlies;118;Minnesota Timberwolves;107;Box Score;;0;
Wed, Jan 13, 2021;8:00p;Los Angeles Lakers;128;Oklahoma City Thunder;99;Box Score;;0;
Wed, Jan 13, 2021;10:00p;New Orleans Pelicans;106;Los Angeles Clippers;111;Box Score;;0;
Wed, Jan 13, 2021;10:00p;Portland Trail Blazers;132;Sacramento Kings;126;Box Score;;0;
Thu, Jan 14, 2021;7:00p;Miami Heat;108;Philadelphia 76ers;125;Box Score;;0;
Thu, Jan 14, 2021;7:30p;Houston Rockets;109;San Antonio Spurs;105;Box Score;;0;
Thu, Jan 14, 2021;7:30p;Charlotte Hornets;108;Toronto Raptors;111;Box Score;;0;
Thu, Jan 14, 2021;10:00p;Golden State Warriors;104;Denver Nuggets;114;Box Score;;0;
Thu, Jan 14, 2021;10:00p;Indiana Pacers;111;Portland Trail Blazers;87;Box Score;;0;
Fri, Jan 15, 2021;7:30p;Orlando Magic;97;Boston Celtics;124;Box Score;;0;
Fri, Jan 15, 2021;7:30p;New York Knicks;103;Cleveland Cavaliers;106;Box Score;;1,944;
Fri, Jan 15, 2021;7:30p;Dallas Mavericks;109;Milwaukee Bucks;112;Box Score;;0;
Fri, Jan 15, 2021;8:00p;Chicago Bulls;125;Oklahoma City Thunder;127;Box Score;OT;0;
