Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sun, Mar 14, 2021;2:00p;Memphis Grizzlies;122;Oklahoma City Thunder;128;Box Score;;0;
Sun, Mar 14, 2021;4:00p;Utah Jazz;119;Golden State Warriors;131;Box Score;;0;
Sun, Mar 14, 2021;6:30p;San Antonio Spurs;99;Philadelphia 76ers;134;Box Score;;3,071;
Sun, Mar 14, 2021;7:00p;Miami Heat;102;Orlando Magic;97;Box Score;;3,264;
Sun, Mar 14, 2021;7:30p;Cleveland Cavaliers;82;Atlanta Hawks;100;Box Score;;2,322;
Sun, Mar 14, 2021;8:00p;Boston Celtics;134;Houston Rockets;107;Box Score;;3,264;
Sun, Mar 14, 2021;8:00p;Portland Trail Blazers;112;Minnesota Timberwolves;114;Box Score;;0;
Sun, Mar 14, 2021;9:00p;Toronto Raptors;95;Chicago Bulls;118;Box Score;;0;
Sun, Mar 14, 2021;9:00p;Los Angeles Clippers;115;New Orleans Pelicans;135;Box Score;;3,7;
Mon, Mar 15, 2021;7:00p;Sacramento Kings;116;Charlotte Hornets;122;Box Score;;2,861;
Mon, Mar 15, 2021;7:00p;Milwaukee Bucks;133;Washington Wizards;122;Box Score;;0;
Mon, Mar 15, 2021;8:00p;New York Knicks;112;Brooklyn Nets;117;Box Score;;1,637;
Mon, Mar 15, 2021;8:00p;San Antonio Spurs;109;Detroit Pistons;99;Box Score;;0;
Mon, Mar 15, 2021;9:00p;Los Angeles Clippers;109;Dallas Mavericks;99;Box Score;;3,945;
Mon, Mar 15, 2021;10:00p;Indiana Pacers;106;Denver Nuggets;121;Box Score;;0;
Mon, Mar 15, 2021;10:00p;Memphis Grizzlies;99;Phoenix Suns;122;Box Score;;3,188;
Mon, Mar 15, 2021;10:30p;Los Angeles Lakers;128;Golden State Warriors;97;Box Score;;0;
Tue, Mar 16, 2021;7:30p;Utah Jazz;117;Boston Celtics;109;Box Score;;0;
Tue, Mar 16, 2021;8:00p;Oklahoma City Thunder;102;Chicago Bulls;123;Box Score;;0;
Tue, Mar 16, 2021;8:00p;Atlanta Hawks;119;Houston Rockets;107;Box Score;;3,069;
Tue, Mar 16, 2021;8:00p;Cleveland Cavaliers;98;Miami Heat;113;Box Score;;0;
Tue, Mar 16, 2021;8:00p;New York Knicks;96;Philadelphia 76ers;99;Box Score;;3,071;
Tue, Mar 16, 2021;10:00p;New Orleans Pelicans;124;Portland Trail Blazers;125;Box Score;;0;
Tue, Mar 16, 2021;10:30p;Minnesota Timberwolves;121;Los Angeles Lakers;137;Box Score;;0;
Wed, Mar 17, 2021;7:00p;Toronto Raptors;112;Detroit Pistons;116;Box Score;;750;
Wed, Mar 17, 2021;7:00p;Brooklyn Nets;124;Indiana Pacers;115;Box Score;;0;
Wed, Mar 17, 2021;7:00p;Milwaukee Bucks;109;Philadelphia 76ers;105;Box Score;OT;3,071;
Wed, Mar 17, 2021;7:00p;Sacramento Kings;121;Washington Wizards;119;Box Score;;0;
Wed, Mar 17, 2021;8:00p;San Antonio Spurs;106;Chicago Bulls;99;Box Score;;0;
Wed, Mar 17, 2021;8:00p;Boston Celtics;110;Cleveland Cavaliers;117;Box Score;;4,1;
Wed, Mar 17, 2021;8:00p;Golden State Warriors;108;Houston Rockets;94;Box Score;;3,259;
Wed, Mar 17, 2021;9:00p;Charlotte Hornets;104;Denver Nuggets;129;Box Score;;0;
Wed, Mar 17, 2021;9:00p;Miami Heat;85;Memphis Grizzlies;89;Box Score;;2,217;
Wed, Mar 17, 2021;9:30p;Los Angeles Clippers;89;Dallas Mavericks;105;Box Score;;3,975;
Thu, Mar 18, 2021;7:00p;Utah Jazz;122;Washington Wizards;131;Box Score;;0;
Thu, Mar 18, 2021;7:30p;Oklahoma City Thunder;93;Atlanta Hawks;116;Box Score;;2,621;
Thu, Mar 18, 2021;7:30p;Orlando Magic;93;New York Knicks;94;Box Score;;1,531;
Thu, Mar 18, 2021;10:00p;Minnesota Timberwolves;123;Phoenix Suns;119;Box Score;;3,172;
Thu, Mar 18, 2021;10:00p;New Orleans Pelicans;93;Portland Trail Blazers;101;Box Score;;0;
Thu, Mar 18, 2021;10:30p;Charlotte Hornets;105;Los Angeles Lakers;116;Box Score;;0;
Fri, Mar 19, 2021;7:30p;Sacramento Kings;107;Boston Celtics;96;Box Score;;0;
Fri, Mar 19, 2021;7:30p;San Antonio Spurs;116;Cleveland Cavaliers;110;Box Score;;0;
Fri, Mar 19, 2021;8:00p;Detroit Pistons;113;Houston Rockets;100;Box Score;;3,061;
Fri, Mar 19, 2021;8:00p;Golden State Warriors;116;Memphis Grizzlies;103;Box Score;;2,716;
Fri, Mar 19, 2021;8:00p;Indiana Pacers;137;Miami Heat;110;Box Score;;0;
Fri, Mar 19, 2021;8:00p;Brooklyn Nets;113;Orlando Magic;121;Box Score;;3,665;
Fri, Mar 19, 2021;8:00p;Utah Jazz;115;Toronto Raptors;112;Box Score;;0;
Fri, Mar 19, 2021;9:00p;Chicago Bulls;127;Denver Nuggets;131;Box Score;OT;0;
Fri, Mar 19, 2021;10:00p;Minnesota Timberwolves;101;Phoenix Suns;113;Box Score;;3,124;
Fri, Mar 19, 2021;10:00p;Dallas Mavericks;119;Portland Trail Blazers;125;Box Score;;0;
Sat, Mar 20, 2021;3:30p;Atlanta Hawks;99;Los Angeles Lakers;94;Box Score;;0;
Sat, Mar 20, 2021;8:00p;Golden State Warriors;103;Memphis Grizzlies;111;Box Score;;0;
Sat, Mar 20, 2021;8:00p;Sacramento Kings;105;Philadelphia 76ers;129;Box Score;;3,071;
Sat, Mar 20, 2021;9:00p;San Antonio Spurs;113;Milwaukee Bucks;120;Box Score;;3,28;
Sat, Mar 20, 2021;10:00p;Charlotte Hornets;98;Los Angeles Clippers;125;Box Score;;0;
Sun, Mar 21, 2021;1:00p;Indiana Pacers;109;Miami Heat;106;Box Score;OT;0;
