Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, May 8, 2021;10:00p;Brooklyn Nets;125;Denver Nuggets;119;Box Score;;4,044;
Sat, May 8, 2021;10:00p;Oklahoma City Thunder;97;Golden State Warriors;136;Box Score;;4,155;
Sat, May 8, 2021;10:00p;San Antonio Spurs;102;Portland Trail Blazers;124;Box Score;;1,939;
Sat, May 8, 2021;10:00p;Houston Rockets;116;Utah Jazz;124;Box Score;;6,506;
Sun, May 9, 2021;1:00p;Miami Heat;130;Boston Celtics;124;Box Score;;2,298;
Sun, May 9, 2021;3:30p;New York Knicks;106;Los Angeles Clippers;100;Box Score;;2,578;
Sun, May 9, 2021;7:00p;New Orleans Pelicans;112;Charlotte Hornets;110;Box Score;;4,196;
Sun, May 9, 2021;7:00p;Dallas Mavericks;124;Cleveland Cavaliers;97;Box Score;;4,148;
Sun, May 9, 2021;7:00p;Minnesota Timberwolves;128;Orlando Magic;96;Box Score;;4,086;
Sun, May 9, 2021;8:00p;Chicago Bulls;108;Detroit Pistons;96;Box Score;;750;
Sun, May 9, 2021;10:00p;Phoenix Suns;110;Los Angeles Lakers;123;Box Score;;3,144;
Sun, May 9, 2021;10:00p;Oklahoma City Thunder;98;Sacramento Kings;126;Box Score;;0;
Mon, May 10, 2021;7:30p;Washington Wizards;124;Atlanta Hawks;125;Box Score;;3,054;
Mon, May 10, 2021;7:30p;Indiana Pacers;111;Cleveland Cavaliers;102;Box Score;;4,148;
Mon, May 10, 2021;8:00p;New Orleans Pelicans;110;Memphis Grizzlies;115;Box Score;;2,507;
Mon, May 10, 2021;8:30p;Milwaukee Bucks;125;San Antonio Spurs;146;Box Score;;3,992;
Mon, May 10, 2021;10:00p;Utah Jazz;116;Golden State Warriors;119;Box Score;;4,155;
Mon, May 10, 2021;10:00p;Houston Rockets;129;Portland Trail Blazers;140;Box Score;;1,939;
Tue, May 11, 2021;7:00p;Denver Nuggets;117;Charlotte Hornets;112;Box Score;;3,997;
Tue, May 11, 2021;7:00p;Minnesota Timberwolves;119;Detroit Pistons;100;Box Score;;750;
Tue, May 11, 2021;7:30p;Miami Heat;129;Boston Celtics;121;Box Score;;4,789;
Tue, May 11, 2021;7:30p;Los Angeles Clippers;115;Toronto Raptors;96;Box Score;;0;
Tue, May 11, 2021;8:00p;Brooklyn Nets;115;Chicago Bulls;107;Box Score;;3,434;
Tue, May 11, 2021;8:00p;Philadelphia 76ers;94;Indiana Pacers;103;Box Score;;0;
Tue, May 11, 2021;8:00p;Dallas Mavericks;104;Memphis Grizzlies;133;Box Score;;2,684;
Tue, May 11, 2021;9:00p;Orlando Magic;102;Milwaukee Bucks;114;Box Score;;3,28;
Tue, May 11, 2021;10:00p;Phoenix Suns;116;Golden State Warriors;122;Box Score;;4,155;
Tue, May 11, 2021;10:00p;New York Knicks;99;Los Angeles Lakers;101;Box Score;OT;3,55;
Tue, May 11, 2021;10:00p;Oklahoma City Thunder;106;Sacramento Kings;122;Box Score;;0;
Wed, May 12, 2021;7:00p;Washington Wizards;116;Atlanta Hawks;120;Box Score;;3,12;
Wed, May 12, 2021;8:00p;San Antonio Spurs;116;Brooklyn Nets;128;Box Score;;1,773;
Wed, May 12, 2021;8:00p;Boston Celtics;94;Cleveland Cavaliers;102;Box Score;;4,148;
Wed, May 12, 2021;9:00p;New Orleans Pelicans;107;Dallas Mavericks;125;Box Score;;4,373;
Wed, May 12, 2021;9:30p;Portland Trail Blazers;105;Utah Jazz;98;Box Score;;6,506;
Wed, May 12, 2021;10:30p;Houston Rockets;122;Los Angeles Lakers;124;Box Score;;4,087;
Thu, May 13, 2021;7:00p;Los Angeles Clippers;113;Charlotte Hornets;90;Box Score;;4,442;
Thu, May 13, 2021;7:00p;Milwaukee Bucks;142;Indiana Pacers;133;Box Score;;;
Thu, May 13, 2021;7:30p;Orlando Magic;93;Atlanta Hawks;116;Box Score;;2,91;
Thu, May 13, 2021;7:30p;Philadelphia 76ers;94;Miami Heat;106;Box Score;;0;
Thu, May 13, 2021;7:30p;San Antonio Spurs;98;New York Knicks;102;Box Score;;1,981;
Thu, May 13, 2021;8:00p;Toronto Raptors;102;Chicago Bulls;114;Box Score;;3,395;
Thu, May 13, 2021;8:00p;Sacramento Kings;110;Memphis Grizzlies;116;Box Score;;2,876;
Thu, May 13, 2021;8:00p;Denver Nuggets;114;Minnesota Timberwolves;103;Box Score;;1,638;
Thu, May 13, 2021;10:00p;Portland Trail Blazers;117;Phoenix Suns;118;Box Score;;8,359;
Fri, May 14, 2021;7:00p;Cleveland Cavaliers;105;Washington Wizards;120;Box Score;;5,333;
Fri, May 14, 2021;8:00p;Denver Nuggets;104;Detroit Pistons;91;Box Score;;750;
Fri, May 14, 2021;8:00p;Utah Jazz;109;Oklahoma City Thunder;93;Box Score;;0;
Fri, May 14, 2021;8:00p;Orlando Magic;97;Philadelphia 76ers;122;Box Score;;5,119;
Fri, May 14, 2021;9:00p;Toronto Raptors;110;Dallas Mavericks;114;Box Score;;4,493;
Fri, May 14, 2021;9:00p;Los Angeles Clippers;115;Houston Rockets;122;Box Score;;3,803;
Fri, May 14, 2021;9:00p;Sacramento Kings;106;Memphis Grizzlies;107;Box Score;;3,502;
Fri, May 14, 2021;9:30p;New Orleans Pelicans;122;Golden State Warriors;125;Box Score;;4,155;
Sat, May 15, 2021;1:00p;Chicago Bulls;91;Brooklyn Nets;105;Box Score;;1,773;
Sat, May 15, 2021;1:00p;Los Angeles Lakers;122;Indiana Pacers;115;Box Score;;0;
Sat, May 15, 2021;1:00p;Charlotte Hornets;109;New York Knicks;118;Box Score;OT;1,981;
Sat, May 15, 2021;2:00p;Boston Celtics;124;Minnesota Timberwolves;108;Box Score;;1,638;
Sat, May 15, 2021;2:00p;Phoenix Suns;140;San Antonio Spurs;103;Box Score;;4,848;
Sat, May 15, 2021;8:00p;Miami Heat;108;Milwaukee Bucks;122;Box Score;;3,28;
Sun, May 16, 2021;1:00p;Boston Celtics;92;New York Knicks;96;Box Score;;1,981;
Sun, May 16, 2021;1:00p;Indiana Pacers;125;Toronto Raptors;113;Box Score;;0;
Sun, May 16, 2021;1:00p;Charlotte Hornets;110;Washington Wizards;115;Box Score;;5,333;
Sun, May 16, 2021;2:00p;Phoenix Suns;123;San Antonio Spurs;121;Box Score;;4,738;
Sun, May 16, 2021;3:30p;Memphis Grizzlies;101;Golden State Warriors;113;Box Score;;4,416;
Sun, May 16, 2021;7:00p;Houston Rockets;95;Atlanta Hawks;124;Box Score;;3,045;
Sun, May 16, 2021;7:00p;Cleveland Cavaliers;109;Brooklyn Nets;123;Box Score;;1,773;
Sun, May 16, 2021;7:00p;Orlando Magic;117;Philadelphia 76ers;128;Box Score;;5,119;
Sun, May 16, 2021;8:00p;Miami Heat;120;Detroit Pistons;107;Box Score;;750;
Sun, May 16, 2021;9:00p;Milwaukee Bucks;112;Chicago Bulls;118;Box Score;;3,427;
Sun, May 16, 2021;9:00p;Dallas Mavericks;121;Minnesota Timberwolves;136;Box Score;;1,638;
Sun, May 16, 2021;9:00p;Los Angeles Lakers;110;New Orleans Pelicans;98;Box Score;;3,7;
Sun, May 16, 2021;9:00p;Los Angeles Clippers;112;Oklahoma City Thunder;117;Box Score;;0;
Sun, May 16, 2021;9:00p;Denver Nuggets;116;Portland Trail Blazers;132;Box Score;;1,939;
Sun, May 16, 2021;9:00p;Utah Jazz;121;Sacramento Kings;99;Box Score;;0;
