Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Thu, Apr 8, 2021;10:00p;Phoenix Suns;103;Los Angeles Clippers;113;Box Score;;0;
Thu, Apr 8, 2021;10:00p;Detroit Pistons;113;Sacramento Kings;101;Box Score;;0;
Thu, Apr 8, 2021;10:00p;Portland Trail Blazers;103;Utah Jazz;122;Box Score;;5,546;
Fri, Apr 9, 2021;7:00p;Indiana Pacers;111;Orlando Magic;106;Box Score;;3,777;
Fri, Apr 9, 2021;7:30p;Minnesota Timberwolves;136;Boston Celtics;145;Box Score;OT;2,298;
Fri, Apr 9, 2021;7:30p;Memphis Grizzlies;129;New York Knicks;133;Box Score;OT;1,912;
Fri, Apr 9, 2021;8:00p;Chicago Bulls;108;Atlanta Hawks;120;Box Score;;996;
Fri, Apr 9, 2021;8:00p;Philadelphia 76ers;94;New Orleans Pelicans;101;Box Score;;3,7;
Fri, Apr 9, 2021;9:00p;San Antonio Spurs;119;Denver Nuggets;121;Box Score;;3,75;
Fri, Apr 9, 2021;9:00p;Charlotte Hornets;127;Milwaukee Bucks;119;Box Score;;3,28;
Fri, Apr 9, 2021;10:00p;Washington Wizards;110;Golden State Warriors;107;Box Score;;0;
Fri, Apr 9, 2021;10:00p;Houston Rockets;109;Los Angeles Clippers;126;Box Score;;0;
Sat, Apr 10, 2021;7:30p;Toronto Raptors;135;Cleveland Cavaliers;115;Box Score;;4,148;
Sat, Apr 10, 2021;8:30p;Los Angeles Lakers;126;Brooklyn Nets;101;Box Score;;1,773;
Sat, Apr 10, 2021;9:00p;Philadelphia 76ers;117;Oklahoma City Thunder;93;Box Score;;0;
Sat, Apr 10, 2021;9:00p;Sacramento Kings;112;Utah Jazz;128;Box Score;;5,546;
Sat, Apr 10, 2021;10:00p;Houston Rockets;109;Golden State Warriors;125;Box Score;;0;
Sat, Apr 10, 2021;10:00p;Washington Wizards;106;Phoenix Suns;134;Box Score;;5,028;
Sat, Apr 10, 2021;10:00p;Detroit Pistons;103;Portland Trail Blazers;118;Box Score;;0;
Sun, Apr 11, 2021;1:00p;Atlanta Hawks;105;Charlotte Hornets;101;Box Score;;4,148;
Sun, Apr 11, 2021;3:00p;Boston Celtics;105;Denver Nuggets;87;Box Score;;4,032;
Sun, Apr 11, 2021;7:00p;New Orleans Pelicans;116;Cleveland Cavaliers;109;Box Score;;4,148;
Sun, Apr 11, 2021;7:00p;Milwaukee Bucks;124;Orlando Magic;87;Box Score;;3,316;
Sun, Apr 11, 2021;8:00p;San Antonio Spurs;119;Dallas Mavericks;117;Box Score;;4,054;
Sun, Apr 11, 2021;8:00p;Indiana Pacers;132;Memphis Grizzlies;125;Box Score;;2,341;
