Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Thu, Jul 30, 2020;6:30p;Utah Jazz;106;New Orleans Pelicans;104;Box Score;;;
Thu, Jul 30, 2020;9:00p;Los Angeles Clippers;101;Los Angeles Lakers;103;Box Score;;;
Fri, Jul 31, 2020;2:30p;Orlando Magic;128;Brooklyn Nets;118;Box Score;;0;
Fri, Jul 31, 2020;4:00p;Memphis Grizzlies;135;Portland Trail Blazers;140;Box Score;OT;;
Fri, Jul 31, 2020;4:00p;Phoenix Suns;125;Washington Wizards;112;Box Score;;;
Fri, Jul 31, 2020;6:30p;Boston Celtics;112;Milwaukee Bucks;119;Box Score;;;
Fri, Jul 31, 2020;8:00p;Sacramento Kings;120;San Antonio Spurs;129;Box Score;;;
Fri, Jul 31, 2020;9:00p;Houston Rockets;153;Dallas Mavericks;149;Box Score;OT;;
